Date,Meetup,Attendees,MEET-UP NO,COLLAB,Summary,Attachments (Insta Link)
10th Aug. 2025,Tricolor Trials 2.0,46,#258,Boundless X Sundarbans X Nallamala,"The meetup began with introductions at Central Park, Connaught Place, followed by the National Anthem, which filled everyone with pride and unity. We then headed to Haldiram’s, where everyone enjoyed snacks, fun conversations, and bonding, making the atmosphere lively and friendly.",https://www.instagram.com/p/DNu-F89YqVj/
13th Sept. 2025,PickleBall,20,#325,Sundarbans,A proper team game having multiple teams with some audience.,https://www.instagram.com/p/DOv20AGE-k5/
21st Sept. 2025,Dandiya Night,70+,Not available in the Insta post.,Pravaha X Sundarbans X Pichavaram X Kanha,"a fantastic Dandiya night meetup for BS students in Delhi , and it was a blast!",https://www.instagram.com/p/DPWlXmvDxtl/
28th Sept. 2025,Navrang 2.0,45,#340,Sundarbans X Boundless X Corbett,"The meetup began with warm introductions  most of us already knew each other, so we connected easily. After some fun clicks, we dived into the Garba night at Pacific Mall, Tagore Garden , where the music, dance, and energy created the perfect vibe for everyone to enjoy and bond.",https://www.instagram.com/p/DPrI0eIEnWQ/
2025-11-01,Project Udaan,30 approx.,NA in post.,Sundarbans X Nilgiri X Sahara,"Gathering with orphan children. Fun activities involving kho-kho, eye spy, etc.",https://www.instagram.com/p/DRrfXeIjGp_/
NA,Noida Meetup #multiple collab,NA,#410,Wayanad X Bandipur X Corbett X Kanha X Kaziranga X Nallamala X Namdapha X Saranda X Sundarbans,"A  fantastic meetup for BS students in Noida, and it was a blast! A huge thanks to everyone who came and made this day so special. New friendships, endless laughter, and unforgettable memories -the day was everything we dreamed of and more!",https://www.instagram.com/p/DSCzFhBkpDj/
14th Jan. 2026,BoneFire Bash,NA,NA in post.,Boundless X Kanha X Pichavaram X Sundarbans,"Bonfire Bash was pure warmth in every sense. From Live Dhol and DJ to the cozy Bonfire Zone and that unlimited buffet, it was an evening to remember. 
There was something so healing about that winter night, heart is full ✨",https://www.instagram.com/p/DT7X2cfjxAY/
2026-01-24,GREATER NOIDA MEET-UP,12,NA in post.,Sundarbans,"bringing the IIT Madras BS Degree Programme community together—no agenda, just students connecting, sharing stories, and building memories beyond screens.",https://www.instagram.com/p/DT8AmnbE9WK/
7th Feb. 2026,AksharDham MeetUp,28,#504,Sundarbans,"Good times, familiar faces, and an electric energy that makes campus life unforgettable ✨

Sundarbans House connects the IIT Madras BS Degree Programme community, creating a space for students to bond, share experiences, and make memories that transcend screens.",https://www.instagram.com/p/DUlRj1jk928/
7th Feb. 2026,Unapologetically Her,15 approx.,NA in post.,Sundarbans,"its first-ever girls-only meetup, and the room slowly filled with girls dressed beautifully, carrying their glow and their stories. What started as strangers walking in turned into laughter echoing over clay art, hands busy decorating candles, and compliments being passed around like secrets.",https://www.instagram.com/p/DUlKOR5k6BR/
