region,source_sheet,structure,record_count,csv_file,json_file
Bengaluru,"Bengaluru (Karnataka, Kerala) R",table,1,csv/bengaluru_region.csv,json/bengaluru_region.json
Chennai,Chennai (Tamil Nadu) Region,status_only,1,csv/chennai_region.csv,json/chennai_region.json
Hyderabad,Hyderabad (AP & Telangana) Regi,table,4,csv/hyderabad_region.csv,json/hyderabad_region.json
Chandigarh,Chandigarh(PunjabUKHPRajasthanH,empty_sheet,0,csv/chandigarh_region.csv,json/chandigarh_region.json
Delhi,Delhi (Delhi-NCR) Region,table,10,csv/delhi_region.csv,json/delhi_region.json
Kolkata,"Kolkata (WB, NE, Odisha) Region",transposed_records,5,csv/kolkata_region.csv,json/kolkata_region.json
Lucknow,"Lucknow (UP, Gwalior) Region",empty_sheet,0,csv/lucknow_region.csv,json/lucknow_region.json
Mumbai,Mumbai (MaharashtraGujarat) Reg,table,13,csv/mumbai_region.csv,json/mumbai_region.json
Patna,"Patna (Bihar, Jharkhand, Chatti",table,12,csv/patna_region.csv,json/patna_region.json
International,International Region,raw_single_row,1,csv/international_region.csv,json/international_region.json
